country,code,diabetes_prevalence_pct,military_exp_pct_gdp,hospital_beds_per_1000,gdp_per_capita_usd,life_expectancy_years,ncd_deaths_pct
Switzerland,CHE,5.3,0.717812077671144,4.38,114769.012314293,84.4073170731707,82.0530716824363
Namibia,NAM,5.3,2.73490195432496,2.7,4875.92558158247,67.516,29.9201127406207
Mauritania,MRT,5.2,2.15504682070845,0.4,2197.51046251309,68.713,42.6951830957598
Belarus,BLR,5.1,2.07364910790144,9.77,10279.2547190723,74.3653414634147,75.3320365311595
Honduras,HND,5.0,1.57536270602411,0.53,3598.21450440452,73.044,47.6630023262625
Netherlands,NLD,5.0,1.91642541759119,2.42,73683.917132794,81.9658536585366,78.1566359154581
Cote d'Ivoire,CIV,5.0,0.762358993041457,0.4,3050.10202257321,62.11,35.670179468665
Angola,AGO,4.9,1.00049213337543,0.75,3129.47662331063,64.805,35.3015592386942
Ecuador,ECU,4.9,2.22194770434425,1.32,7125.27618527738,77.579,62.2136050482973
Togo,TGO,4.8,1.99877193389434,0.33,1383.89974929887,62.935,43.4834918847341
Sierra Leone,SLE,4.8,0.462539633893509,0.4,846.296172499617,61.964,34.4620101650726
Mali,MLI,4.8,4.1981465701254,0.25,1193.27601004701,60.675,29.2380879440246
Norway,NOR,4.8,2.09124111193175,3.3,94594.1929573987,83.1609756097561,86.555413144726
Guinea-Bissau,GNB,4.8,1.2348847572106,1.0,1123.76679992349,64.254,30.8294254449587
Aruba,ABW,4.6,,,38590.5650288641,76.5,
Botswana,BWA,4.6,2.83392800595041,2.36,7778.1151090571,69.293,28.3490480240129
South Sudan,SSD,4.6,1.9617070809135,,1080.14718624765,57.738,28.8767929681202
Madagascar,MDG,4.6,0.708648145396825,0.32,599.265294255357,63.835,39.9623346601568
Guinea,GIN,4.6,2.05370337042453,0.3,1877.2541220972,60.904,33.0144174338877
Burkina Faso,BFA,4.5,4.67973196943363,0.2,1147.57131635601,61.292,35.6163851436063
Eritrea,ERI,4.4,20.8657453093811,1.02,688.68165957684,68.893,51.5632310150675
Ethiopia,ETH,4.4,0.650506448320295,0.33,932.729352775179,67.603,38.281509102057
Burundi,BDI,4.3,3.80127919699841,0.69,233.823013385395,63.818,38.847359533099
Greenland,GRL,4.3,,14.3534002304077,58498.9707973609,70.2734146341463,
Niger,NER,4.1,2.24177586841643,0.28,775.353622143879,61.433,23.924084371702
Senegal,SEN,3.8,1.56647768181405,0.71,1954.71174194867,68.924,47.6931596948885
Ireland,IRL,3.6,0.239096332495524,2.96,131592.462547877,83.009756097561,81.7330892911138
Viet Nam,VNM,3.4,1.80650138874311,2.52,5065.99091899299,74.736,78.2061969049514
Bolivia,BOL,3.4,1.37066364312669,1.49,5147.81081955367,68.739,37.5459098066861
Timor-Leste,TLS,3.2,2.66415662650602,0.38,1340.9640193437,67.904,51.104728894485
Kenya,KEN,3.1,0.999546585264659,1.33,2362.86091198611,63.834,37.785852428419
Nigeria,NGA,3.0,0.555429367236392,0.5,1224.25410237743,54.635,27.7024570108556
Mozambique,MOZ,3.0,1.99330115632931,0.74,626.914419215727,63.797,30.5847951626543
Ghana,GHA,2.7,0.383994182354107,0.69,3257.1588903576,65.695,46.7923674926638
Uganda,UGA,2.2,1.88159798311992,0.5,1206.30450825002,68.487,36.9435512422094
Rwanda,RWA,2.1,1.24772078121775,0.75,1123.73874633225,68.017,50.2896264133564
Zimbabwe,ZWE,1.5,0.351195023855751,1.95,3021.43019873632,63.064,38.3454285597608
